Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,64,0.001,0.165,0.466,1,1.534,1.562,0.0,0.056,1.549,0.023,1.549,0.023,0.048,0.039,-80.78,1.242,0.001,0.762,0.062,116.565,1.548,0.028,0.056,0.028,90.0,0.062,0.998,1.546,0.0,0.012,-0.985,2.602
2,75,0.001,0.176,0.482,1,1.861,1.912,0.0,0.048,1.88,0.018,1.88,0.018,0.048,0.04,-47.668,1.224,0.001,0.824,0.07,137.291,1.878,0.016,0.07,0.036,131.634,0.071,1.007,1.88,0.0,0.016,-0.983,2.227
3,23,0.0003651,0.09,0.563,1,2.211,2.251,0.0,0.012,2.232,0.005,2.232,0.005,0.042,0.037,2.391,1.125,0.0003968,0.92,0.04,5.711,2.231,0.006,0.04,0.012,0.0,0.041,1.036,2.227,0.0,0.012,-0.988,1.736
12,71,0.001,0.151,0.619,1,6.064,6.104,0.0,0.044,6.083,0.019,6.083,0.019,0.043,0.04,71.639,1.086,0.001,0.845,0.052,57.529,6.084,0.021,0.048,0.037,80.538,0.052,0.998,6.076,0.0,0.016,-0.985,1.627
19,54,0.0008571,0.131,0.626,1,7.271,7.323,0.0,0.028,7.295,0.011,7.295,0.011,0.044,0.039,-2.133,1.132,0.001,0.844,0.054,17.103,7.297,0.014,0.052,0.028,0.0,0.056,1.03,7.287,0.0,0.016,-0.983,1.752
25,49,0.0007778,0.126,0.617,1,8.024,8.048,0.0,0.052,8.036,0.019,8.036,0.019,0.044,0.038,86.942,1.155,0.0008889,0.875,0.054,72.897,8.036,0.026,0.052,0.024,90.0,0.056,1.03,8.032,0.0,0.012,-0.986,2.336
29,30,0.0004762,0.104,0.552,1,8.331,8.359,0.0,0.036,8.347,0.014,8.347,0.014,0.041,0.038,87.061,1.064,0.000619,0.769,0.038,71.565,8.343,0.016,0.037,0.028,98.13,0.04,1.056,8.347,0.0,0.008,-0.988,2.504
43,48,0.0007619,0.103,0.9,1,8.171,8.203,0.008,0.04,8.185,0.023,8.185,0.023,0.04,0.039,-55.278,1.011,0.0008095,0.941,0.038,32.005,8.187,0.024,0.032,0.032,90.0,0.038,0.998,8.183,0.02,0.016,-0.983,1.177
47,44,0.0006984,0.151,0.384,1,7.092,7.124,0.012,0.076,7.108,0.043,7.108,0.043,0.05,0.037,66.782,1.336,0.0009365,0.746,0.067,72.646,7.108,0.045,0.066,0.021,63.435,0.069,1.027,7.1,0.024,0.008,-0.989,4.304
48,74,0.001,0.137,0.782,1,7.534,7.582,0.012,0.052,7.556,0.032,7.556,0.032,0.044,0.04,24.456,1.095,0.001,0.914,0.049,14.036,7.556,0.031,0.049,0.035,18.435,0.051,1.036,7.554,0.032,0.016,-0.982,1.602
89,50,0.0007936,0.119,0.702,1,2.104,2.139,0.04,0.08,2.124,0.062,2.124,0.062,0.042,0.039,-46.917,1.1,0.0009047,0.877,0.048,131.634,2.126,0.063,0.047,0.031,149.036,0.048,0.998,2.124,0.06,0.012,-0.984,2.002
93,22,0.0003492,0.088,0.566,1,5.203,5.227,0.04,0.064,5.214,0.05,5.214,0.05,0.039,0.038,-40.369,1.038,0.0004444,0.786,0.031,129.806,5.214,0.052,0.031,0.022,123.69,0.032,1.026,5.215,0.044,0.008,-0.991,2.004
133,31,0.0004921,0.102,0.596,1,3.853,3.884,0.072,0.1,3.868,0.086,3.868,0.086,0.041,0.038,-13.551,1.065,0.000619,0.795,0.036,153.435,3.868,0.085,0.034,0.027,170.538,0.04,1.12,3.865,0.08,0.008,-0.988,2.504
141,65,0.001,0.174,0.429,1,8.482,8.514,0.076,0.147,8.499,0.107,8.499,0.107,0.052,0.038,79.493,1.366,0.001,0.722,0.072,96.34,8.499,0.112,0.071,0.026,79.695,0.074,1.028,8.494,0.092,0.012,-0.986,3.102
162,234,0.004,0.368,0.345,1,8.53,8.633,0.1,0.187,8.582,0.138,8.582,0.138,0.061,0.048,22.607,1.285,0.006,0.667,0.108,38.991,8.586,0.134,0.108,0.073,36.254,0.108,1.0,8.57,0.131,0.02,-0.979,2.701
171,71,0.001,0.174,0.468,1,3.171,3.227,0.112,0.163,3.198,0.145,3.198,0.145,0.044,0.042,-61.017,1.069,0.002,0.696,0.056,8.13,3.195,0.144,0.052,0.048,59.036,0.057,1.005,3.199,0.143,0.012,-0.986,2.369
172,47,0.000746,0.108,0.81,1,2.602,2.633,0.116,0.143,2.615,0.13,2.615,0.13,0.04,0.039,26.965,1.022,0.0007936,0.94,0.042,41.186,2.618,0.129,0.032,0.028,0.0,0.042,0.999,2.614,0.127,0.016,-0.982,1.327
179,220,0.003,0.302,0.48,0,3.661,3.745,0.124,0.207,3.71,0.163,3.71,0.163,0.064,0.043,49.274,1.501,0.004,0.859,0.11,49.399,3.712,0.163,0.11,0.051,49.399,0.111,1.006,3.701,0.155,0.02,-0.981,2.781
187,46,0.0007301,0.131,0.536,1,8.972,8.996,0.127,0.175,8.985,0.15,8.985,0.15,0.044,0.038,88.813,1.15,0.0009047,0.807,0.048,99.462,8.984,0.151,0.048,0.024,90.0,0.051,1.053,8.984,0.139,0.012,-0.986,2.136
190,53,0.0008413,0.131,0.614,1,8.191,8.243,0.131,0.159,8.22,0.143,8.22,0.143,0.044,0.039,19.135,1.129,0.0009365,0.898,0.054,17.103,8.217,0.145,0.052,0.028,0.0,0.056,1.03,8.215,0.139,0.012,-0.986,2.336
195,132,0.002,0.27,0.362,1,4.49,4.546,0.139,0.219,4.522,0.183,4.522,0.183,0.049,0.046,-85.697,1.078,0.003,0.721,0.082,104.036,4.518,0.179,0.08,0.056,90.0,0.085,1.029,4.518,0.175,0.016,-0.982,2.652
200,68,0.001,0.181,0.416,1,9.08,9.108,0.139,0.215,9.099,0.174,9.099,0.174,0.052,0.038,88.069,1.351,0.001,0.747,0.076,96.009,9.094,0.177,0.076,0.028,90.0,0.078,1.027,9.104,0.155,0.016,-0.987,2.452
223,27,0.0004286,0.077,0.9,1,1.618,1.637,0.167,0.195,1.629,0.183,1.629,0.183,0.039,0.038,-87.937,1.042,0.0004444,0.964,0.03,66.801,1.627,0.181,0.028,0.02,90.0,0.031,1.026,1.625,0.175,0.008,-0.986,1.954
232,32,0.0005079,0.112,0.512,1,3.279,3.303,0.175,0.215,3.293,0.195,3.293,0.195,0.042,0.038,74.969,1.104,0.0006508,0.78,0.043,68.199,3.291,0.195,0.04,0.024,90.0,0.044,1.023,3.291,0.183,0.008,-0.989,2.754
