Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
40,7,0.00012,0.038,1.049,1,6.413,6.426,0.046,0.058,6.419,0.051,6.419,0.051,0.038,0.038,-9.22e-12,1.002,0.00012,1.0,0.015,56.31,6.419,0.052,0.012,0.012,90.0,0.015,1.002,6.413,0.046,0.004,-0.992,1.807
385,1547,0.027,0.706,0.669,1,0.53,0.671,0.84,1.105,0.6,0.967,0.6,0.967,0.131,0.079,-87.809,1.652,0.03,0.896,0.269,104.25,0.6,0.973,0.265,0.141,90.0,0.272,1.013,0.6,0.944,0.07,-0.916,1.936
409,1150,0.02,0.684,0.529,1,0.662,0.836,0.915,1.11,0.737,1.011,0.737,1.011,0.101,0.085,56.529,1.191,0.024,0.812,0.208,58.841,0.745,1.001,0.196,0.172,78.111,0.203,0.975,0.729,1.002,0.058,-0.94,1.751
599,4906,0.084,1.507,0.466,1,0.94,1.346,1.375,1.714,1.115,1.555,1.115,1.555,0.205,0.151,29.32,1.352,0.102,0.822,0.433,21.903,1.143,1.544,0.408,0.338,1.169,0.435,1.004,1.085,1.524,0.12,-0.892,1.811
813,5769,0.099,1.559,0.511,1,0.596,1.002,1.842,2.236,0.799,2.028,0.799,2.028,0.217,0.159,-28.748,1.361,0.115,0.862,0.463,121.842,0.8,2.02,0.428,0.344,160.346,0.461,0.996,0.791,2.029,0.128,-0.869,1.797
1233,4189,0.072,1.336,0.505,1,0.948,1.337,2.981,3.3,1.162,3.148,1.162,3.148,0.176,0.148,14.953,1.189,0.089,0.808,0.391,169.641,1.147,3.149,0.38,0.306,11.041,0.4,1.022,1.163,3.163,0.108,-0.896,1.858
2224,3896,0.067,1.275,0.516,1,1.416,1.801,6.513,6.827,1.614,6.658,1.614,6.658,0.183,0.131,23.944,1.393,0.078,0.857,0.389,7.958,1.601,6.663,0.351,0.266,45.0,0.397,1.02,1.611,6.633,0.104,-0.899,1.916
2217,2953,0.051,1.05,0.577,1,1.64,2.0,6.442,6.678,1.827,6.553,1.827,6.553,0.164,0.113,18.051,1.452,0.058,0.88,0.38,18.435,1.82,6.56,0.36,0.236,0.0,0.385,1.014,1.834,6.562,0.099,-0.911,1.938
1665,4375,0.075,1.408,0.475,1,1.582,1.88,4.157,4.575,1.717,4.373,1.717,4.373,0.19,0.142,-74.075,1.338,0.089,0.839,0.429,105.11,1.732,4.365,0.417,0.297,88.854,0.437,1.02,1.739,4.347,0.116,-0.899,1.886
1787,4905,0.084,1.659,0.384,1,2.074,2.414,4.546,4.935,2.238,4.749,2.238,4.749,0.195,0.162,86.22,1.202,0.108,0.782,0.445,61.049,2.25,4.752,0.387,0.318,97.907,0.441,0.991,2.244,4.753,0.116,-0.902,1.9
1464,1350,0.023,0.826,0.427,1,1.346,1.569,3.585,3.83,1.455,3.718,1.455,3.718,0.125,0.084,56.986,1.494,0.031,0.737,0.262,68.703,1.443,3.725,0.248,0.171,50.042,0.264,1.008,1.453,3.701,0.054,-0.94,2.454
1292,5461,0.094,1.44,0.567,1,1.693,2.12,3.196,3.536,1.894,3.359,1.894,3.359,0.211,0.154,-12.618,1.369,0.107,0.877,0.427,3.334,1.898,3.348,0.419,0.321,165.53,0.432,1.012,1.917,3.354,0.124,-0.875,1.74
1198,3701,0.063,1.076,0.688,1,1.619,1.867,2.886,3.205,1.748,3.059,1.748,3.059,0.165,0.134,88.698,1.232,0.069,0.919,0.35,62.526,1.743,3.045,0.319,0.248,90.0,0.345,0.987,1.747,3.051,0.12,-0.875,1.438
964,4492,0.077,1.395,0.497,1,1.751,2.186,2.227,2.509,1.97,2.366,1.97,2.366,0.216,0.128,-8.328,1.692,0.094,0.817,0.464,158.009,1.972,2.374,0.447,0.276,173.66,0.479,1.031,1.996,2.368,0.12,-0.885,1.993
399,5288,0.091,1.419,0.566,1,1.892,2.323,0.894,1.288,2.125,1.097,2.125,1.097,0.19,0.176,-7.467,1.079,0.108,0.842,0.431,177.797,2.138,1.081,0.391,0.355,40.236,0.434,1.007,2.145,1.093,0.124,-0.872,1.747
319,91,0.002,0.159,0.771,1,7.506,7.552,0.683,0.741,7.532,0.71,7.532,0.71,0.049,0.041,58.675,1.213,0.002,0.958,0.067,60.255,7.536,0.711,0.064,0.038,45.0,0.066,0.993,7.523,0.7,0.017,-0.976,2.002
297,141,0.002,0.23,0.576,1,5.362,5.42,0.625,0.712,5.387,0.668,5.387,0.668,0.061,0.041,62.072,1.491,0.003,0.839,0.097,59.036,5.388,0.672,0.095,0.04,68.749,0.096,0.995,5.378,0.658,0.017,-0.975,2.902
342,439,0.008,0.367,0.704,1,8.703,8.815,0.725,0.828,8.761,0.782,8.761,0.782,0.066,0.06,-42.366,1.09,0.009,0.883,0.128,125.754,8.76,0.789,0.127,0.099,128.66,0.127,0.994,8.757,0.778,0.041,-0.953,1.531
453,3610,0.062,1.385,0.406,1,3.097,3.428,1.035,1.354,3.235,1.194,3.235,1.194,0.163,0.146,-86.358,1.113,0.079,0.784,0.37,26.565,3.255,1.19,0.337,0.318,171.573,0.354,0.955,3.234,1.188,0.099,-0.91,1.779
923,6756,0.116,1.826,0.437,1,3.424,3.917,2.124,2.567,3.683,2.326,3.683,2.326,0.236,0.176,-36.037,1.343,0.145,0.797,0.496,173.29,3.667,2.324,0.493,0.398,138.814,0.526,1.06,3.71,2.306,0.149,-0.88,1.764
1227,5432,0.093,1.485,0.53,1,2.418,2.799,2.956,3.337,2.607,3.138,2.607,3.138,0.191,0.17,9.715,1.124,0.111,0.838,0.406,26.042,2.616,3.127,0.38,0.368,154.093,0.389,0.96,2.584,3.151,0.128,-0.879,1.516
1665,4375,0.075,1.408,0.475,1,1.582,1.88,4.157,4.575,1.717,4.373,1.717,4.373,0.19,0.142,-74.075,1.338,0.089,0.839,0.429,105.11,1.732,4.365,0.417,0.297,88.854,0.437,1.02,1.739,4.347,0.116,-0.899,1.886
1787,4905,0.084,1.659,0.384,1,2.074,2.414,4.546,4.935,2.238,4.749,2.238,4.749,0.195,0.162,86.22,1.202,0.108,0.782,0.445,61.049,2.25,4.752,0.387,0.318,97.907,0.441,0.991,2.244,4.753,0.116,-0.902,1.9
911,2759,0.047,1.257,0.376,1,4.099,4.306,2.107,2.492,4.209,2.294,4.209,2.294,0.189,0.095,-87.96,1.977,0.061,0.775,0.388,96.746,4.201,2.3,0.384,0.204,88.091,0.395,1.019,4.198,2.294,0.075,-0.926,2.65
1154,2203,0.038,0.833,0.683,1,3.979,4.235,2.778,3.031,4.133,2.898,4.133,2.898,0.125,0.114,84.049,1.097,0.042,0.896,0.261,156.682,4.148,2.897,0.25,0.236,139.899,0.262,1.001,4.128,2.886,0.091,-0.894,1.437
1509,10384,0.178,2.002,0.558,1,4.542,4.977,3.726,4.331,4.76,4.025,4.76,4.025,0.292,0.205,88.045,1.427,0.201,0.887,0.614,102.068,4.762,4.031,0.598,0.417,83.66,0.627,1.021,4.77,4.053,0.186,-0.823,1.682
1374,3399,0.058,1.307,0.429,1,4.55,4.836,3.399,3.78,4.666,3.586,4.666,3.586,0.169,0.14,-88.047,1.208,0.074,0.787,0.403,70.821,4.698,3.579,0.396,0.286,81.634,0.408,1.012,4.65,3.573,0.091,-0.908,2.241
1307,1217,0.021,0.676,0.573,1,4.471,4.695,3.238,3.391,4.577,3.316,4.577,3.316,0.108,0.081,11.246,1.34,0.025,0.839,0.241,22.166,4.578,3.325,0.235,0.147,8.746,0.243,1.005,4.567,3.312,0.062,-0.932,1.954
1265,1810,0.031,0.818,0.583,1,4.459,4.728,3.097,3.287,4.595,3.184,4.595,3.184,0.134,0.091,9.151,1.481,0.038,0.825,0.271,173.853,4.601,3.176,0.257,0.178,15.255,0.276,1.019,4.616,3.184,0.07,-0.92,1.959
1174,1512,0.026,0.776,0.541,1,4.405,4.604,2.836,3.068,4.496,2.942,4.496,2.942,0.12,0.085,-60.618,1.416,0.03,0.866,0.256,116.98,4.486,2.947,0.256,0.165,116.565,0.252,0.985,4.488,2.935,0.07,-0.934,1.789
1045,3896,0.067,1.465,0.391,1,4.923,5.229,2.476,2.906,5.083,2.678,5.083,2.678,0.212,0.118,72.956,1.798,0.083,0.808,0.439,78.584,5.08,2.701,0.435,0.265,70.56,0.435,0.99,5.072,2.646,0.099,-0.907,2.188
1037,1574,0.027,0.647,0.809,1,4.807,5.026,2.451,2.633,4.907,2.532,4.907,2.532,0.114,0.092,-28.981,1.239,0.029,0.928,0.236,158.385,4.918,2.544,0.224,0.179,176.532,0.238,1.007,4.894,2.534,0.079,-0.909,1.511
950,3411,0.058,1.136,0.569,1,4.666,5.014,2.203,2.468,4.839,2.346,4.839,2.346,0.185,0.119,11.757,1.547,0.071,0.821,0.393,37.716,4.825,2.346,0.352,0.244,7.734,0.379,0.966,4.786,2.339,0.091,-0.897,2.082
952,6689,0.115,1.487,0.651,1,5.403,5.784,2.207,2.687,5.577,2.447,5.577,2.447,0.233,0.173,-77.332,1.343,0.131,0.876,0.494,116.35,5.588,2.436,0.475,0.369,81.87,0.484,0.978,5.569,2.468,0.153,-0.827,1.579
1022,3191,0.055,1.066,0.605,1,5.163,5.444,2.41,2.687,5.306,2.546,5.306,2.546,0.157,0.125,43.616,1.261,0.061,0.898,0.343,43.531,5.318,2.54,0.334,0.26,30.579,0.34,0.993,5.312,2.534,0.108,-0.895,1.581
956,2210,0.038,0.934,0.546,1,5.155,5.444,2.211,2.41,5.285,2.31,5.285,2.31,0.145,0.103,7.341,1.412,0.046,0.817,0.298,21.209,5.298,2.312,0.286,0.192,175.486,0.304,1.022,5.237,2.294,0.075,-0.923,2.039
823,4106,0.07,1.358,0.48,1,5.072,5.469,1.859,2.198,5.284,2.045,5.284,2.045,0.189,0.14,13.74,1.35,0.084,0.841,0.406,11.768,5.286,2.016,0.403,0.302,18.97,0.415,1.022,5.3,2.049,0.108,-0.896,1.927
