Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
167,14927,0.237,4.252,0.165,1,5.068,5.681,0.311,1.171,5.363,0.741,5.363,0.741,0.346,0.241,-74.839,1.435,0.332,0.713,0.862,93.18,5.319,0.761,0.776,0.585,118.94,0.871,1.011,5.367,0.681,0.195,-0.885,2.231
897,10959,0.174,3.634,0.166,1,5.203,5.737,1.96,2.637,5.439,2.346,5.439,2.346,0.299,0.215,75.33,1.395,0.25,0.695,0.694,102.6,5.436,2.294,0.661,0.479,77.905,0.714,1.029,5.434,2.315,0.151,-0.91,2.358
2043,4044,0.064,1.4,0.412,1,5.303,5.554,4.462,4.9,5.419,4.695,5.419,4.695,0.203,0.111,-73.605,1.822,0.073,0.881,0.456,107.802,5.417,4.684,0.456,0.228,109.654,0.463,1.015,5.414,4.669,0.1,-0.918,2.324
765,2694,0.042,1.087,0.444,1,1.256,1.575,1.394,1.614,1.415,1.497,1.415,1.497,0.154,0.1,11.077,1.546,0.05,0.827,0.335,23.552,1.412,1.5,0.335,0.203,25.769,0.339,1.011,1.413,1.492,0.091,-0.922,1.87
560,2425,0.038,1.322,0.27,1,1.043,1.303,0.874,1.161,1.183,1.023,1.183,1.023,0.148,0.112,42.433,1.315,0.06,0.624,0.343,42.672,1.165,1.027,0.3,0.253,82.694,0.341,0.995,1.157,1.004,0.067,-0.941,2.547
812,1304,0.02,0.765,0.434,1,0.154,0.398,1.516,1.669,0.287,1.589,0.287,1.589,0.123,0.068,25.285,1.81,0.024,0.839,0.271,25.821,0.277,1.584,0.268,0.132,16.928,0.269,0.99,0.299,1.587,0.055,-0.948,2.436
834,1735,0.027,0.957,0.369,1,0.563,0.768,1.571,1.854,0.675,1.701,0.675,1.701,0.136,0.086,59.946,1.575,0.038,0.702,0.32,55.528,0.673,1.717,0.302,0.172,74.745,0.32,0.999,0.661,1.681,0.055,-0.945,2.901
716,902,0.014,0.641,0.428,1,1.417,1.579,1.272,1.441,1.494,1.365,1.494,1.365,0.086,0.079,56.009,1.092,0.019,0.723,0.193,40.855,1.492,1.368,0.171,0.143,77.8,0.195,1.014,1.492,1.362,0.047,-0.956,2.067
1043,1127,0.017,0.866,0.293,1,1.283,1.457,1.953,2.209,1.375,2.085,1.375,2.085,0.104,0.081,80.915,1.279,0.028,0.625,0.268,72.897,1.365,2.083,0.268,0.159,74.291,0.276,1.03,1.378,2.079,0.047,-0.959,2.917
1487,2035,0.032,1.142,0.304,1,2.539,2.752,3.035,3.374,2.652,3.191,2.652,3.191,0.152,0.086,-70.975,1.762,0.047,0.669,0.36,109.822,2.651,3.198,0.36,0.192,108.435,0.364,1.011,2.665,3.154,0.063,-0.944,2.888
2424,1607,0.025,1.151,0.236,1,2.094,2.358,5.402,5.626,2.221,5.52,2.221,5.52,0.141,0.077,-34.903,1.833,0.038,0.656,0.327,143.82,2.233,5.51,0.325,0.166,149.744,0.327,1.0,2.256,5.492,0.047,-0.958,3.459
2435,840,0.013,0.812,0.248,1,1.866,2.055,5.437,5.634,1.971,5.53,1.971,5.53,0.106,0.067,36.927,1.582,0.021,0.623,0.227,33.69,1.965,5.508,0.224,0.135,59.265,0.229,1.009,1.984,5.539,0.039,-0.968,2.911
2118,2655,0.041,1.448,0.247,1,2.882,3.142,4.728,5.059,3.018,4.884,3.018,4.884,0.161,0.098,-56.139,1.641,0.059,0.7,0.368,122.33,3.008,4.892,0.368,0.215,120.964,0.369,1.003,3.031,4.862,0.075,-0.941,2.469
2876,1562,0.024,1.104,0.249,1,4.161,4.382,6.256,6.488,4.27,6.383,4.27,6.383,0.124,0.082,-59.549,1.513,0.033,0.728,0.263,119.638,4.262,6.384,0.257,0.172,131.424,0.261,0.992,4.28,6.382,0.051,-0.955,2.547
2277,3247,0.05,1.674,0.226,1,5.083,5.409,5.039,5.394,5.222,5.198,5.222,5.198,0.141,0.135,-78.169,1.048,0.072,0.695,0.355,92.545,5.229,5.212,0.302,0.276,43.152,0.361,1.019,5.22,5.181,0.094,-0.936,1.913
1109,5670,0.088,2.368,0.197,1,3.303,3.661,2.079,2.583,3.508,2.319,3.508,2.319,0.208,0.158,80.166,1.318,0.121,0.729,0.513,79.38,3.478,2.329,0.499,0.354,92.936,0.524,1.021,3.516,2.299,0.118,-0.922,2.217
752,2852,0.044,1.493,0.249,1,3.756,4.024,1.366,1.744,3.888,1.554,3.888,1.554,0.182,0.097,54.855,1.882,0.061,0.724,0.423,63.435,3.877,1.588,0.421,0.229,57.995,0.418,0.99,3.878,1.539,0.079,-0.94,2.655
1327,1919,0.03,1.203,0.258,1,3.831,4.114,2.488,2.72,3.967,2.593,3.967,2.593,0.122,0.098,17.317,1.249,0.042,0.7,0.285,174.447,3.963,2.591,0.264,0.213,152.526,0.294,1.031,3.965,2.598,0.067,-0.95,2.195
1003,1329,0.021,0.888,0.328,1,3.677,3.933,1.886,2.047,3.776,1.97,3.776,1.97,0.118,0.081,15.964,1.463,0.029,0.702,0.271,19.486,3.806,1.963,0.264,0.155,5.711,0.278,1.024,3.776,1.961,0.051,-0.954,2.716
1313,2963,0.046,1.36,0.312,1,4.413,4.744,2.445,2.752,4.571,2.58,4.571,2.58,0.156,0.113,-14.478,1.373,0.068,0.672,0.344,161.98,4.579,2.602,0.342,0.271,156.161,0.349,1.015,4.551,2.571,0.087,-0.933,2.014
1004,2329,0.036,1.309,0.265,1,4.602,4.945,1.886,2.154,4.773,2.003,4.773,2.003,0.146,0.105,11.138,1.387,0.056,0.642,0.349,11.056,4.763,1.995,0.336,0.206,26.565,0.337,0.966,4.768,1.996,0.075,-0.942,2.253
1313,2963,0.046,1.36,0.312,1,4.413,4.744,2.445,2.752,4.571,2.58,4.571,2.58,0.156,0.113,-14.478,1.373,0.068,0.672,0.344,161.98,4.579,2.602,0.342,0.271,156.161,0.349,1.015,4.551,2.571,0.087,-0.933,2.014
438,2829,0.044,1.667,0.198,1,3.563,3.917,0.61,0.937,3.708,0.743,3.708,0.743,0.18,0.118,-53.592,1.523,0.08,0.545,0.407,138.918,3.692,0.735,0.389,0.297,121.787,0.413,1.013,3.689,0.717,0.063,-0.948,3.275
452,1914,0.03,1.055,0.335,1,3.827,4.106,0.638,0.866,3.97,0.741,3.97,0.741,0.126,0.096,-25.838,1.316,0.042,0.705,0.295,161.323,3.987,0.746,0.261,0.213,131.009,0.299,1.014,3.972,0.732,0.071,-0.941,2.112
1788,3715,0.058,1.439,0.349,1,4.756,5.043,3.819,4.181,4.9,3.983,4.9,3.983,0.18,0.117,66.132,1.534,0.073,0.786,0.37,78.331,4.89,4.004,0.37,0.273,80.754,0.378,1.022,4.874,3.937,0.098,-0.924,1.92
1381,7572,0.117,2.055,0.349,1,6.862,7.366,2.646,3.067,7.135,2.877,7.135,2.877,0.264,0.157,40.861,1.684,0.143,0.821,0.571,33.471,7.13,2.888,0.564,0.338,49.185,0.568,0.994,7.146,2.906,0.138,-0.9,2.06
1654,4679,0.073,1.612,0.351,1,6.705,7.012,3.472,3.886,6.849,3.687,6.849,3.687,0.198,0.13,-74.282,1.527,0.094,0.769,0.418,98.664,6.849,3.679,0.403,0.303,82.569,0.427,1.021,6.839,3.689,0.11,-0.912,1.936
601,6980,0.108,1.889,0.381,1,6.799,7.252,0.965,1.37,7.011,1.188,7.011,1.188,0.202,0.188,-4.087,1.071,0.13,0.835,0.463,12.265,7.015,1.155,0.448,0.393,173.29,0.473,1.021,7.008,1.185,0.154,-0.885,1.541
1381,7572,0.117,2.055,0.349,1,6.862,7.366,2.646,3.067,7.135,2.877,7.135,2.877,0.264,0.157,40.861,1.684,0.143,0.821,0.571,33.471,7.13,2.888,0.564,0.338,49.185,0.568,0.994,7.146,2.906,0.138,-0.9,2.06
