Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
31,27758,0.404,3.905,0.333,1,1.775,2.591,0.202,0.996,2.193,0.619,2.193,0.619,0.416,0.333,28.934,1.249,0.494,0.819,0.973,41.82,2.223,0.585,0.894,0.685,15.593,0.971,0.998,2.107,0.611,0.26,-0.816,1.871
51,30538,0.445,4.603,0.264,1,2.801,3.687,0.443,1.355,3.242,0.878,3.242,0.878,0.442,0.356,-70.849,1.241,0.581,0.765,0.949,152.199,3.209,0.874,0.948,0.777,105.357,0.952,1.003,3.175,0.92,0.26,-0.829,1.834
327,37088,0.54,4.389,0.352,1,2.13,3.099,3.305,4.164,2.594,3.673,2.594,3.673,0.466,0.392,7.047,1.189,0.63,0.857,0.999,20.582,2.57,3.656,0.998,0.852,22.479,1.001,1.003,2.557,3.675,0.321,-0.785,1.562
581,20947,0.305,3.446,0.323,1,2.168,2.824,5.476,6.186,2.531,5.814,2.531,5.814,0.328,0.316,83.56,1.037,0.363,0.841,0.774,59.133,2.491,5.826,0.704,0.654,92.07,0.77,0.996,2.553,5.808,0.24,-0.839,1.602
817,14405,0.21,2.545,0.407,1,2.809,3.286,6.526,7.171,3.047,6.848,3.047,6.848,0.314,0.228,79.218,1.378,0.259,0.811,0.706,58.027,3.044,6.85,0.646,0.468,88.55,0.704,0.996,3.053,6.785,0.202,-0.846,1.74
627,47851,0.697,5.4,0.3,1,3.297,4.423,5.824,6.927,3.912,6.404,3.912,6.404,0.517,0.451,-58.271,1.146,0.84,0.83,1.126,0.971,3.935,6.418,1.079,0.938,128.558,1.14,1.013,3.969,6.419,0.359,-0.764,1.589
51,30538,0.445,4.603,0.264,1,2.801,3.687,0.443,1.355,3.242,0.878,3.242,0.878,0.442,0.356,-70.849,1.241,0.581,0.765,0.949,152.199,3.209,0.874,0.948,0.777,105.357,0.952,1.003,3.175,0.92,0.26,-0.829,1.834
157,44479,0.648,4.977,0.329,1,3.286,4.362,1.656,2.649,3.792,2.153,3.792,2.153,0.554,0.387,-32.719,1.432,0.762,0.85,1.165,151.42,3.735,2.149,1.143,0.876,139.844,1.153,0.99,3.797,2.107,0.336,-0.764,1.716
327,37088,0.54,4.389,0.352,1,2.13,3.099,3.305,4.164,2.594,3.673,2.594,3.673,0.466,0.392,7.047,1.189,0.63,0.857,0.999,20.582,2.57,3.656,0.998,0.852,22.479,1.001,1.003,2.557,3.675,0.321,-0.785,1.562
488,33113,0.482,4.468,0.304,1,3.889,4.873,4.61,5.442,4.402,5.018,4.402,5.018,0.457,0.353,18.532,1.295,0.57,0.846,0.993,172.493,4.369,5.031,0.97,0.724,17.956,0.998,1.005,4.416,5.041,0.298,-0.806,1.676
