Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,746,0.013,0.485,0.683,1,2.666,2.820,0.000,0.112,2.749,0.050,2.749,0.050,0.083,0.069,-1.610,1.214,0.014,0.893,0.170,34.077,2.743,0.056,0.153,0.112,0.000,0.170,0.999,2.757,0.037,0.054,-0.943,1.577
2,6,1.029E-4,0.038,0.900,1,3.047,3.064,0.000,0.008,3.056,0.003,3.056,0.003,0.038,0.037,4.926E-13,1.017,1.029E-4,1.000,0.017,14.036,3.056,0.004,0.017,0.008,0.000,0.018,1.071,3.047,0.000,0.004,-0.990,2.207
3,69,0.001,0.129,0.887,1,3.105,3.151,0.000,0.037,3.129,0.015,3.129,0.015,0.044,0.041,17.661,1.074,0.001,0.945,0.048,30.964,3.128,0.019,0.046,0.037,0.000,0.047,0.979,3.126,0.000,0.021,-0.972,1.141
4,55,9.428E-4,0.121,0.814,1,4.173,4.219,0.000,0.029,4.200,0.012,4.200,0.012,0.044,0.040,20.498,1.109,9.942E-4,0.948,0.052,28.610,4.196,0.014,0.046,0.029,0.000,0.051,0.975,4.190,0.000,0.017,-0.979,1.527
5,125,0.002,0.204,0.645,1,5.353,5.420,0.000,0.054,5.381,0.020,5.381,0.020,0.053,0.043,-27.601,1.226,0.003,0.850,0.077,143.746,5.379,0.017,0.077,0.051,149.744,0.076,0.990,5.378,0.000,0.025,-0.974,1.535
6,225,0.004,0.253,0.759,1,5.428,5.515,0.000,0.054,5.471,0.024,5.471,0.024,0.058,0.047,6.644,1.233,0.004,0.904,0.095,28.811,5.471,0.027,0.087,0.054,0.000,0.092,0.973,5.465,0.000,0.041,-0.961,1.111
7,11,1.886E-4,0.051,0.900,1,5.974,5.995,0.000,0.012,5.984,0.005,5.984,0.005,0.039,0.038,-9.992,1.023,1.886E-4,1.000,0.022,158.199,5.985,0.006,0.021,0.012,0.000,0.023,1.043,5.979,0.000,0.008,-0.987,1.404
8,1029,0.018,0.637,0.546,1,5.995,6.165,0.000,0.157,6.073,0.068,6.073,0.068,0.093,0.079,44.678,1.174,0.020,0.863,0.195,32.005,6.071,0.063,0.192,0.152,42.709,0.182,0.933,6.061,0.037,0.062,-0.945,1.467
9,63,0.001,0.132,0.782,1,6.264,6.318,0.000,0.029,6.288,0.012,6.288,0.012,0.045,0.040,-9.208,1.122,0.001,0.984,0.055,167.005,6.291,0.014,0.054,0.029,0.000,0.057,1.035,6.285,0.000,0.025,-0.977,1.151
10,6,1.029E-4,0.038,0.900,1,6.343,6.359,0.000,0.008,6.351,0.003,6.351,0.003,0.038,0.037,1.359E-15,1.017,1.029E-4,1.000,0.017,14.036,6.351,0.004,0.017,0.008,0.000,0.018,1.071,6.343,0.000,0.004,-0.990,2.207
11,41,7.028E-4,0.105,0.802,1,7.159,7.196,0.000,0.029,7.177,0.013,7.177,0.013,0.043,0.039,37.462,1.102,7.371E-4,0.953,0.047,37.875,7.178,0.013,0.047,0.026,45.000,0.047,1.001,7.167,0.000,0.012,-0.983,1.902
12,17,2.914E-4,0.067,0.816,1,7.237,7.254,0.000,0.021,7.245,0.010,7.245,0.010,0.039,0.038,76.162,1.026,3.257E-4,0.895,0.027,51.340,7.245,0.010,0.021,0.017,90.000,0.027,1.002,7.241,0.000,0.008,-0.987,1.604
13,200,0.003,0.249,0.694,1,7.452,7.506,0.000,0.095,7.481,0.041,7.481,0.041,0.063,0.044,77.663,1.440,0.004,0.893,0.102,68.629,7.480,0.047,0.098,0.052,84.289,0.104,1.013,7.473,0.021,0.025,-0.967,2.085
14,336,0.006,0.361,0.554,1,7.535,7.614,0.000,0.124,7.579,0.065,7.579,0.065,0.075,0.049,-86.121,1.545,0.007,0.785,0.129,104.931,7.575,0.062,0.124,0.079,90.000,0.132,1.025,7.573,0.079,0.029,-0.966,2.272
15,623,0.011,0.457,0.642,1,7.850,7.999,0.000,0.137,7.924,0.072,7.924,0.072,0.090,0.059,41.257,1.541,0.012,0.859,0.162,37.747,7.919,0.065,0.161,0.094,45.000,0.162,1.000,7.929,0.083,0.041,-0.949,1.961
16,102,0.002,0.174,0.724,1,8.024,8.086,0.000,0.046,8.055,0.020,8.055,0.020,0.049,0.042,-31.840,1.185,0.002,0.864,0.072,149.036,8.054,0.019,0.069,0.044,167.471,0.071,0.984,8.057,0.000,0.021,-0.973,1.721
17,627,0.011,0.524,0.492,1,8.177,8.310,0.000,0.128,8.241,0.072,8.241,0.072,0.076,0.068,15.724,1.124,0.013,0.817,0.157,52.524,8.245,0.066,0.132,0.122,18.435,0.159,1.016,8.231,0.075,0.046,-0.956,1.746
18,122,0.002,0.175,0.856,1,8.467,8.512,0.000,0.066,8.489,0.032,8.489,0.032,0.051,0.042,72.750,1.202,0.002,0.938,0.071,69.444,8.487,0.033,0.071,0.044,69.444,0.072,1.019,8.483,0.008,0.017,-0.968,2.177
19,141,0.002,0.208,0.703,1,8.806,8.881,0.000,0.041,8.846,0.018,8.846,0.018,0.056,0.042,3.130,1.318,0.003,0.892,0.080,21.251,8.844,0.021,0.075,0.041,0.000,0.082,1.026,8.839,0.000,0.029,-0.970,1.415
20,94,0.002,0.156,0.830,1,9.171,9.216,0.000,0.054,9.194,0.025,9.194,0.025,0.049,0.041,-48.834,1.204,0.002,0.940,0.068,127.569,9.195,0.026,0.068,0.038,128.660,0.068,1.001,9.200,0.012,0.017,-0.971,2.052
21,6,1.029E-4,0.035,1.076,1,0.041,0.054,0.008,0.017,0.048,0.012,0.048,0.012,0.038,0.037,0.000,1.010,1.029E-4,1.000,0.015,33.690,0.048,0.012,0.012,0.008,0.000,0.015,1.002,0.041,0.008,0.004,-0.992,1.807
22,151,0.003,0.248,0.530,1,4.807,4.894,0.008,0.070,4.848,0.045,4.848,0.045,0.058,0.045,-5.628,1.285,0.004,0.733,0.089,166.608,4.849,0.039,0.088,0.061,176.186,0.092,1.029,4.848,0.033,0.017,-0.977,2.777
23,71,0.001,0.133,0.869,1,9.258,9.299,0.012,0.058,9.280,0.034,9.280,0.034,0.046,0.040,51.100,1.165,0.001,0.959,0.056,53.973,9.281,0.033,0.056,0.031,53.130,0.056,1.001,9.282,0.037,0.017,-0.974,1.702
24,62,0.001,0.121,0.918,1,7.804,7.842,0.017,0.054,7.822,0.035,7.822,0.035,0.042,0.041,-38.921,1.009,0.001,0.939,0.045,146.310,7.822,0.034,0.038,0.037,104.036,0.045,1.000,7.821,0.029,0.017,-0.977,1.352
