Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,64,0.001,0.165,0.466,1,1.534,1.562,0.000,0.056,1.549,0.023,1.549,0.023,0.048,0.039,-80.780,1.242,0.001,0.762,0.062,116.565,1.548,0.028,0.056,0.028,90.000,0.062,0.998,1.546,0.000,0.012,-0.985,2.602
2,75,0.001,0.176,0.482,1,1.861,1.912,0.000,0.048,1.880,0.018,1.880,0.018,0.048,0.040,-47.668,1.224,0.001,0.824,0.070,137.291,1.878,0.016,0.070,0.036,131.634,0.071,1.007,1.880,0.000,0.016,-0.983,2.227
3,23,3.651E-4,0.090,0.563,1,2.211,2.251,0.000,0.012,2.232,0.005,2.232,0.005,0.042,0.037,2.391,1.125,3.968E-4,0.920,0.040,5.711,2.231,0.006,0.040,0.012,0.000,0.041,1.036,2.227,0.000,0.012,-0.988,1.736
4,12242,0.194,6.175,0.064,-31,2.315,2.789,0.000,1.064,2.535,0.535,2.535,0.535,0.649,0.161,78.520,4.039,0.340,0.572,1.096,70.248,2.555,0.539,1.087,0.370,81.516,1.172,1.069,2.438,0.139,0.092,-0.948,6.396
5,22,3.492E-4,0.108,0.379,1,2.594,2.641,0.000,0.016,2.611,0.005,2.611,0.005,0.044,0.037,-8.526,1.197,4.921E-4,0.710,0.048,170.538,2.618,0.008,0.048,0.016,0.000,0.050,1.037,2.602,0.000,0.012,-0.989,2.102
6,1,1.587E-5,0.011,1.748,1,2.649,2.653,0.000,0.004,2.651,0.002,2.651,0.002,0.036,0.036,0.000,1.000,1.587E-5,1.000,0.006,45.000,2.651,0.002,0.004,0.004,90.000,0.006,1.000,2.649,0.000,0.004,-0.992,0.707
7,4,6.349E-5,0.026,1.199,1,3.080,3.088,0.000,0.008,3.084,0.004,3.084,0.004,0.037,0.037,0.000,1.000,6.349E-5,1.000,0.011,45.000,3.084,0.004,0.008,0.008,90.000,0.011,0.995,3.080,0.000,0.004,-0.992,1.407
8,1,1.587E-5,0.011,1.748,1,3.239,3.243,0.000,0.004,3.241,0.002,3.241,0.002,0.036,0.036,0.000,1.000,1.587E-5,1.000,0.006,45.000,3.241,0.002,0.004,0.004,90.000,0.006,1.000,3.239,0.000,0.004,-0.992,0.707
9,2,3.175E-5,0.018,1.199,1,3.347,3.351,0.000,0.008,3.349,0.004,3.349,0.004,0.037,0.036,90.000,1.006,3.175E-5,1.000,0.009,63.435,3.349,0.004,0.008,0.004,90.000,0.010,1.080,3.347,0.000,0.004,-0.992,1.207
10,1061,0.017,0.692,0.442,1,4.506,4.745,0.000,0.167,4.612,0.081,4.612,0.081,0.146,0.059,24.919,2.462,0.022,0.771,0.262,24.228,4.622,0.097,0.262,0.107,31.827,0.261,0.997,4.558,0.056,0.048,-0.952,2.734
11,346,0.005,0.524,0.251,1,5.761,5.932,0.000,0.064,5.838,0.023,5.838,0.023,0.092,0.047,-7.187,1.966,0.008,0.684,0.176,166.908,5.847,0.032,0.171,0.064,0.000,0.182,1.033,5.876,0.000,0.028,-0.977,3.258
12,71,0.001,0.151,0.619,1,6.064,6.104,0.000,0.044,6.083,0.019,6.083,0.019,0.043,0.040,71.639,1.086,0.001,0.845,0.052,57.529,6.084,0.021,0.048,0.037,80.538,0.052,0.998,6.076,0.000,0.016,-0.985,1.627
13,197,0.003,0.342,0.335,1,6.701,6.765,0.000,0.100,6.738,0.051,6.738,0.051,0.071,0.044,-73.466,1.619,0.005,0.689,0.113,122.005,6.738,0.050,0.109,0.053,105.945,0.116,1.032,6.741,0.000,0.020,-0.981,2.921
14,3,4.762E-5,0.026,0.900,1,6.769,6.781,0.000,0.004,6.775,0.002,6.775,0.002,0.037,0.036,0.000,1.016,4.762E-5,1.000,0.013,18.435,6.775,0.002,0.012,0.004,0.000,0.014,1.080,6.769,0.000,0.004,-0.992,1.707
15,96,0.002,0.228,0.369,1,6.845,6.896,0.000,0.056,6.873,0.023,6.873,0.023,0.048,0.042,55.540,1.152,0.002,0.691,0.062,63.435,6.871,0.028,0.056,0.052,90.000,0.069,1.100,6.865,0.000,0.016,-0.984,2.152
16,60,9.524E-4,0.116,0.888,1,7.008,7.044,0.000,0.036,7.027,0.015,7.027,0.015,0.041,0.040,-40.238,1.046,0.001,0.923,0.045,127.875,7.027,0.014,0.042,0.035,158.199,0.045,1.001,7.028,0.000,0.016,-0.974,1.427
