Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,1679,0.024,0.852,0.423,1,2.473,2.870,0.000,0.065,2.681,0.032,2.681,0.032,0.221,0.052,0.511,4.280,0.025,0.992,0.402,9.284,2.671,0.032,0.397,0.065,0.000,0.411,1.021,2.549,0.000,0.065,-0.936,3.165
2,884,0.013,0.480,0.701,1,2.874,3.015,0.000,0.134,2.937,0.049,2.937,0.049,0.083,0.070,-25.781,1.182,0.014,0.917,0.161,148.570,2.944,0.067,0.141,0.134,0.000,0.153,0.953,2.942,0.000,0.073,-0.932,1.058
3,1065,0.016,0.590,0.559,1,3.019,3.179,0.000,0.145,3.096,0.052,3.096,0.052,0.092,0.073,-3.162,1.248,0.019,0.831,0.185,128.290,3.099,0.073,0.160,0.145,0.000,0.198,1.070,3.095,0.019,0.080,-0.942,1.234
4,46,6.700E-4,0.162,0.321,1,3.351,3.423,0.000,0.015,3.388,0.005,3.388,0.005,0.056,0.036,-1.509,1.538,9.176E-4,0.730,0.074,168.111,3.387,0.008,0.073,0.015,0.000,0.076,1.031,3.408,0.000,0.011,-0.984,3.336
5,217,0.003,0.243,0.672,1,3.652,3.713,0.000,0.073,3.683,0.028,3.683,0.028,0.050,0.048,-87.768,1.043,0.004,0.882,0.086,57.724,3.683,0.036,0.073,0.061,90.000,0.086,0.997,3.679,0.000,0.031,-0.971,1.401
6,535,0.008,0.385,0.662,1,3.717,3.820,0.000,0.111,3.769,0.040,3.769,0.040,0.065,0.061,2.386,1.061,0.009,0.901,0.123,115.769,3.769,0.055,0.111,0.103,90.000,0.122,0.994,3.767,0.000,0.053,-0.953,1.143
7,791,0.012,0.408,0.868,1,3.824,3.946,0.000,0.114,3.885,0.049,3.885,0.049,0.074,0.069,-0.410,1.075,0.012,0.973,0.141,38.418,3.885,0.057,0.122,0.114,0.000,0.141,1.000,3.881,0.000,0.061,-0.912,1.157
8,2841,0.041,0.998,0.522,1,3.950,4.290,0.000,0.191,4.115,0.070,4.115,0.070,0.168,0.095,4.005,1.774,0.048,0.862,0.351,14.490,4.120,0.095,0.340,0.191,0.000,0.286,0.814,4.114,0.000,0.141,-0.915,1.011
9,2950,0.043,0.957,0.589,1,8.175,8.499,0.000,0.195,8.331,0.089,8.331,0.089,0.154,0.102,-13.946,1.510,0.049,0.885,0.348,153.997,8.337,0.097,0.324,0.195,0.000,0.344,0.989,8.331,0.073,0.103,-0.906,1.671
10,28,4.078E-4,0.081,0.774,1,9.434,9.461,0.000,0.023,9.447,0.014,9.447,0.014,0.038,0.037,35.211,1.032,4.515E-4,0.903,0.032,45.000,9.447,0.011,0.027,0.023,0.000,0.032,0.992,9.442,0.008,0.008,-0.988,2.104
11,237,0.003,0.296,0.495,1,9.465,9.526,0.000,0.092,9.502,0.034,9.502,0.034,0.060,0.045,70.635,1.310,0.004,0.817,0.104,61.557,9.495,0.046,0.092,0.061,90.000,0.105,1.012,9.522,0.000,0.050,-0.974,1.062
12,1,1.456E-5,0.010,1.748,1,3.492,3.496,0.031,0.034,3.494,0.032,3.494,0.032,0.036,0.036,0.000,1.000,1.456E-5,1.000,0.005,45.000,3.494,0.032,0.004,0.004,90.000,0.005,1.000,3.492,0.031,0.004,-0.992,0.707
13,742,0.011,0.539,0.467,1,1.679,1.820,0.038,0.214,1.733,0.133,1.733,0.133,0.096,0.056,-51.763,1.717,0.014,0.779,0.191,116.053,1.732,0.127,0.184,0.095,131.634,0.182,0.951,1.721,0.130,0.038,-0.959,2.381
14,3,4.369E-5,0.023,1.076,1,9.194,9.201,0.046,0.053,9.198,0.049,9.198,0.049,0.036,0.036,45.000,1.005,4.369E-5,1.000,0.011,45.000,9.197,0.050,0.008,0.008,90.000,0.011,0.995,9.194,0.046,0.004,-0.992,1.407
15,7143,0.104,1.829,0.391,1,2.309,2.973,0.057,0.393,2.686,0.173,2.686,0.173,0.334,0.120,14.139,2.782,0.133,0.782,0.675,10.421,2.660,0.140,0.669,0.286,21.523,0.690,1.022,2.774,0.176,0.111,-0.896,3.117
16,587,0.009,0.443,0.548,1,1.084,1.179,0.065,0.202,1.132,0.151,1.132,0.151,0.073,0.059,81.783,1.230,0.010,0.833,0.155,62.176,1.132,0.134,0.137,0.095,90.000,0.153,0.988,1.133,0.153,0.042,-0.962,1.828
17,7140,0.104,1.585,0.520,1,6.473,6.858,0.065,0.500,6.687,0.297,6.687,0.297,0.204,0.182,-51.629,1.118,0.120,0.864,0.469,111.975,6.674,0.260,0.465,0.365,104.349,0.471,1.004,6.671,0.305,0.149,-0.872,1.582
18,1,1.456E-5,0.010,1.748,1,6.579,6.583,0.073,0.076,6.581,0.074,6.581,0.074,0.036,0.036,0.000,1.000,1.456E-5,1.000,0.005,45.000,6.581,0.074,0.004,0.004,0.000,0.005,1.000,6.579,0.073,0.004,-0.992,0.707
19,1,1.456E-5,0.010,1.748,1,6.690,6.694,0.084,0.088,6.692,0.086,6.692,0.086,0.036,0.036,0.000,1.000,1.456E-5,1.000,0.005,45.000,6.692,0.086,0.004,0.004,0.000,0.005,1.000,6.690,0.084,0.004,-0.992,0.707
20,9,1.311E-4,0.042,0.926,1,0.656,0.668,0.088,0.103,0.663,0.095,0.663,0.095,0.037,0.036,63.435,1.022,1.456E-4,0.900,0.019,53.130,0.662,0.095,0.015,0.011,90.000,0.019,1.003,0.656,0.088,0.004,-0.992,2.507
21,2,2.913E-5,0.017,1.199,1,3.538,3.542,0.092,0.099,3.540,0.095,3.540,0.095,0.036,0.036,90.000,1.006,2.913E-5,1.000,0.009,63.435,3.540,0.095,0.008,0.004,90.000,0.009,1.080,3.538,0.092,0.004,-0.992,1.207
22,2,2.913E-5,0.017,1.199,1,1.164,1.172,0.095,0.099,1.168,0.097,1.168,0.097,0.036,0.036,0.000,1.006,2.913E-5,1.000,0.009,26.565,1.168,0.097,0.008,0.004,0.000,0.009,1.080,1.164,0.095,0.004,-0.992,1.207
23,595,0.009,0.457,0.522,1,1.595,1.675,0.111,0.301,1.644,0.186,1.644,0.186,0.100,0.051,85.516,1.971,0.010,0.831,0.191,85.426,1.635,0.206,0.191,0.080,90.000,0.195,1.017,1.637,0.153,0.034,-0.958,2.834
