Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,3,3,5.918,1.076,1,0,2,0,2,0.833,0.833,0.833,0.833,1.291,0.882,-45.000,1.464,3,1.000,2.828,135.000,1.000,1.000,2.000,2.000,0.000,2.814,0.995,0,0,1,1.000,1.407
2,440,440,121.105,0.377,1,179,212,0,30,199.680,10.802,199.680,10.802,17.662,12.135,50.732,1.455,684,0.643,36.878,40.601,200.719,10.873,36.794,28.355,47.862,40.414,1.096,199,0,10,7.020,2.021
3,16,16,15.629,0.823,1,215,220,0,5,218.062,1.938,218.062,1.938,2.897,2.059,51.966,1.407,17,0.941,6.403,38.660,218.269,1.654,6.379,4.715,56.310,6.414,1.002,217,0,2,2.333,1.604
4,12,12,14.844,0.684,1,243,250,0,2,246.500,0.917,246.500,0.917,3.606,1.143,0.000,3.156,12,1.000,7.071,8.130,246.500,1.000,7.000,2.000,0.000,7.414,1.049,245,0,2,2.048,1.854
5,9,9,11.837,0.807,1,286,291,0,3,288.500,1.056,288.500,1.056,2.380,1.487,0.000,1.601,9,1.000,5.099,11.310,288.500,1.500,5.000,3.000,0.000,5.414,1.062,288,0,2,1.800,1.354
6,174,174,55.812,0.702,1,307,328,0,13,319.241,5.063,319.241,5.063,10.520,5.839,20.334,1.802,187,0.930,23.259,25.463,317.500,6.500,21.000,13.000,0.000,22.414,0.964,317,0,8,7.526,1.401
7,93,93,36.161,0.894,1,328,339,0,11,333.027,4.543,333.027,4.543,5.859,5.313,-38.609,1.103,96,0.969,13.601,143.973,333.500,5.500,11.000,11.000,0.000,13.014,0.957,332,0,5,6.238,1.301
8,11,11,11.607,1.026,1,340,344,0,3,341.864,1.409,341.864,1.409,2.248,1.639,-15.071,1.372,11,1.000,5.000,143.130,342.000,1.500,4.000,3.000,0.000,4.614,0.923,341,0,2,2.333,1.154
9,171,171,66.634,0.484,1,345,367,0,19,358.640,6.219,358.640,6.219,13.988,5.811,36.124,2.407,236,0.725,27.659,40.601,358.328,5.607,27.656,13.316,39.806,28.614,1.035,356,0,6,5.357,2.385
10,101,101,42.635,0.698,1,408,423,0,10,414.965,3.975,414.965,3.975,7.234,4.954,-9.683,1.460,111,0.910,16.155,158.199,415.500,5.000,15.000,10.000,0.000,13.014,0.806,414,0,6,5.889,1.085
11,28,28,30.243,0.385,1,424,438,0,3,430.000,1.107,430.000,1.107,7.735,1.390,-3.472,5.565,34,0.824,14.142,171.870,431.000,1.500,14.000,3.000,0.000,14.614,1.033,426,0,3,2.286,2.436
12,3,3,5.918,1.076,1,492,494,0,2,493.167,0.833,493.167,0.833,1.291,0.882,45.000,1.464,3,1.000,2.828,45.000,493.000,1.000,2.000,2.000,0.000,2.814,0.995,492,0,1,1.000,1.407
13,656,656,129.285,0.493,1,282,324,3,38,304.651,17.104,304.651,17.104,21.095,11.883,33.491,1.775,886,0.740,47.885,28.706,303.384,15.166,45.112,26.411,48.991,47.414,0.990,305,13,9,9.633,2.634
14,50,50,31.258,0.643,1,483,494,9,18,489.260,13.880,489.260,13.880,6.913,2.711,-26.988,2.551,60,0.833,13.601,143.973,489.269,14.346,13.520,6.574,150.255,13.614,1.001,493,11,3,3.000,2.269
15,216,216,70.886,0.540,1,110,125,14,43,118.694,30.250,118.694,30.250,15.630,5.108,-71.887,3.060,261,0.828,29.967,115.710,120.259,28.603,29.897,12.442,111.801,30.614,1.022,118,31,5,6.083,3.061
16,2328,2328,242.615,0.497,1,308,381,15,81,343.771,47.282,343.771,47.282,34.618,26.416,-31.423,1.310,2986,0.780,77.473,156.413,349.759,52.165,76.685,60.307,167.471,78.814,1.017,342,45,18,16.963,2.189
17,87,87,36.851,0.805,1,63,75,17,30,69.178,23.557,69.178,23.557,7.201,3.979,-50.137,1.810,93,0.935,15.264,121.608,69.750,23.250,14.849,8.485,135.000,15.214,0.997,69,22,4,5.167,1.902
18,172,172,54.146,0.737,1,46,65,25,41,55.994,33.692,55.994,33.692,10.615,5.372,-41.203,1.976,186,0.925,22.023,140.528,56.000,34.500,21.920,12.021,135.000,22.014,1.000,58,30,5,6.630,2.201
19,474,474,104.040,0.550,1,374,394,29,73,382.987,54.344,382.987,54.344,21.518,7.880,83.879,2.731,550,0.862,44.181,84.806,380.941,51.265,43.656,18.190,75.964,45.014,1.019,382,60,8,8.772,2.813
20,457,457,101.589,0.556,1,83,103,36,77,92.636,56.561,92.636,56.561,20.060,7.661,78.836,2.618,552,0.828,41.195,84.428,93.596,57.089,39.911,18.375,69.444,42.014,1.020,90,49,7,9.617,3.001
21,175,175,52.250,0.806,1,101,117,41,58,110.134,49.734,110.134,49.734,8.595,6.774,-59.912,1.269,192,0.911,17.889,153.435,110.462,49.808,17.473,14.422,123.690,17.614,0.985,111,47,6,9.467,1.468
22,230,230,69.085,0.606,1,259,275,44,70,267.135,59.930,267.135,59.930,12.496,7.032,-86.942,1.777,272,0.846,26.571,109.799,269.328,58.431,26.554,15.784,111.801,27.214,1.024,267,62,7,6.622,1.944
23,31,31,22.103,0.797,1,0,7,45,52,2.629,47.919,2.629,47.919,3.762,3.016,-36.140,1.248,32,0.969,8.602,144.462,2.192,47.538,8.598,6.656,146.310,8.614,1.001,0,47,3,3.667,1.436
24,1809,1809,188.508,0.640,1,279,338,45,99,307.241,75.939,307.241,75.939,26.513,23.323,1.554,1.137,1999,0.905,59.211,4.844,307.410,80.008,53.007,50.318,129.806,60.214,1.017,306,73,19,19.557,1.585
25,152,152,51.465,0.721,1,392,407,53,70,398.954,60.493,398.954,60.493,8.156,6.502,61.484,1.254,172,0.884,18.385,67.620,399.700,60.400,18.336,13.416,63.435,18.614,1.012,398,59,6,5.947,1.551
